accession	length_nt	description
MN007043.1	966	MN007043.1 Human respiratory syncytial virus A strain 3432-GD-CHN-2018 attachment glycoprotein (G) gene, complete cds
KU955263.1	894	KU955263.1 Human respiratory syncytial virus A strain 1742A/2009 attachment glycoprotein (G) gene, complete cds
MN007040.1	966	MN007040.1 Human respiratory syncytial virus A strain 2939-GD-CHN-2018 attachment glycoprotein (G) gene, complete cds
MF445768.1	966	MF445768.1 Human respiratory syncytial virus A strain FJ140104-09 attachment glycoprotein (G) gene, complete cds
KU955179.1	894	KU955179.1 Human respiratory syncytial virus A strain 2584A/2011 attachment glycoprotein (G) gene, complete cds
MN007078.1	966	MN007078.1 Human respiratory syncytial virus A strain 5866-GD-CHN-2019 attachment glycoprotein (G) gene, complete cds
KU955222.1	894	KU955222.1 Human respiratory syncytial virus A strain 2398A/2011 attachment glycoprotein (G) gene, complete cds
OP927947.1	966	OP927947.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2021/15 attachment glycoprotein gene, complete cds
OP927829.1	966	OP927829.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2021/97 attachment glycoprotein gene, complete cds
OP927932.1	966	OP927932.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2020/16 attachment glycoprotein gene, complete cds
OP927821.1	966	OP927821.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2021/89 attachment glycoprotein gene, complete cds
OP927826.1	966	OP927826.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2021/94 attachment glycoprotein gene, complete cds
OP927835.1	966	OP927835.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2021/103 attachment glycoprotein gene, complete cds
OP927982.1	966	OP927982.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2018/16 attachment glycoprotein gene, complete cds
OP927845.1	966	OP927845.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2021/113 attachment glycoprotein gene, complete cds
OP927957.1	966	OP927957.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2021/26 attachment glycoprotein gene, complete cds
OP927864.1	966	OP927864.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2022/4 attachment glycoprotein gene, complete cds
OR045926.1	929	OR045926.1 Human respiratory syncytial virus A isolate UAEU-TW-2021-5 attachment glycoprotein (G) gene, complete cds
OP927938.1	966	OP927938.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2021/6 attachment glycoprotein gene, complete cds
OP927882.1	966	OP927882.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2021/50 attachment glycoprotein gene, complete cds
OP927903.1	966	OP927903.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2021/71 attachment glycoprotein gene, complete cds
OP927931.1	969	OP927931.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2020/15 attachment glycoprotein gene, complete cds
OP927837.1	966	OP927837.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2021/105 attachment glycoprotein gene, complete cds
OP927858.1	966	OP927858.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2021/126 attachment glycoprotein gene, complete cds
OP927917.1	966	OP927917.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2020/1 attachment glycoprotein gene, complete cds
OP927986.1	966	OP927986.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2019/4 attachment glycoprotein gene, complete cds
OP927992.1	966	OP927992.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2019/9 attachment glycoprotein gene, complete cds
OP927920.1	966	OP927920.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2020/4 attachment glycoprotein gene, complete cds
OP927898.1	966	OP927898.1 Human respiratory syncytial virus A isolate RSVA/Leipzig/2021/66 attachment glycoprotein gene, complete cds
MW455131.1	966	MW455131.1 Human respiratory syncytial virus A isolate ZS2018RSV03 attachment glycoprotein (G) gene, complete cds
PQ822255.1	974	PQ822255.1 Human respiratory syncytial virus A isolate 211219VS15 attachment glycoprotein (G) gene, complete cds
PQ822308.1	974	PQ822308.1 Human respiratory syncytial virus A isolate 231202VS28 attachment glycoprotein (G) gene, complete cds
PX103265.1	966	PX103265.1 Human respiratory syncytial virus A isolate G14 attachment glycoprotein (G) gene, complete cds
PZ111144.1	966	PZ111144.1 Human respiratory syncytial virus A isolate NCR107 attachment glycoprotein (G) gene, complete cds
PQ822281.1	974	PQ822281.1 Human respiratory syncytial virus A isolate 230505VS06 attachment glycoprotein (G) gene, complete cds
PZ111146.1	966	PZ111146.1 Human respiratory syncytial virus A isolate NCR110 attachment glycoprotein (G) gene, complete cds
PQ822290.1	974	PQ822290.1 Human respiratory syncytial virus A isolate 230516VS11 attachment glycoprotein (G) gene, complete cds
PQ822282.1	974	PQ822282.1 Human respiratory syncytial virus A isolate 230505VS07 attachment glycoprotein (G) gene, complete cds
PX453150.1	966	PX453150.1 Human respiratory syncytial virus A isolate UAEU-TW-2021-24 attachment glycoprotein (G) gene, complete cds
PQ822304.1	974	PQ822304.1 Human respiratory syncytial virus A isolate 230806VS07 attachment glycoprotein (G) gene, complete cds
PZ111147.1	966	PZ111147.1 Human respiratory syncytial virus A isolate NCR112 attachment glycoprotein (G) gene, complete cds
PZ111171.1	966	PZ111171.1 Human respiratory syncytial virus A isolate NCR26 attachment glycoprotein (G) gene, complete cds
PZ111193.1	966	PZ111193.1 Human respiratory syncytial virus A isolate NCR53 attachment glycoprotein (G) gene, complete cds
PZ111161.1	966	PZ111161.1 Human respiratory syncytial virus A isolate NCR15 attachment glycoprotein (G) gene, complete cds
PZ111139.1	966	PZ111139.1 Human respiratory syncytial virus A isolate NCR1 attachment glycoprotein (G) gene, complete cds
PQ822335.1	974	PQ822335.1 Human respiratory syncytial virus A isolate 240218VS03 attachment glycoprotein (G) gene, complete cds
PZ111185.1	966	PZ111185.1 Human respiratory syncytial virus A isolate NCR44 attachment glycoprotein (G) gene, complete cds
PX442151.1	974	PX442151.1 Human respiratory syncytial virus A isolate UAEU-TW-2021-7 attachment glycoprotein (G) gene, complete cds
PX442153.1	974	PX442153.1 Human respiratory syncytial virus A isolate UAEU-TW-2021-9 attachment glycoprotein (G) gene, complete cds
PQ822288.1	974	PQ822288.1 Human respiratory syncytial virus A isolate 230515VS15 attachment glycoprotein (G) gene, complete cds
PZ111212.1	966	PZ111212.1 Human respiratory syncytial virus A isolate NCR81 attachment glycoprotein (G) gene, complete cds
