accession	length_nt	description
EU199363.1	1701	EU199363.1 Influenza A virus (A/Vermont/01/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU516203.1	1701	EU516203.1 Influenza A virus (A/North Carolina/06/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
FJ532078.1	1701	FJ532078.1 Influenza A virus (A/California/08/2008(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU516067.1	1701	EU516067.1 Influenza A virus (A/California/30/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU857035.1	1701	EU857035.1 Influenza A virus (A/Hong Kong/CUHK52011/2003(H3N2)) hemagglutinin (HA) gene, complete cds
EU852007.1	1701	EU852007.1 Influenza A virus (A/Iowa/01/2008(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
JQ290164.1	1701	JQ290164.1 Influenza A virus (A/West Virginia/06/2011(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU856910.1	1701	EU856910.1 Influenza A virus (A/Hong Kong/CUHK21421/2001(H3N2)) hemagglutinin (HA) gene, complete cds
GQ369843.1	1701	GQ369843.1 Influenza A virus (A/Maryland/10/2008(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU856954.1	1701	EU856954.1 Influenza A virus (A/Hong Kong/CUHK26969/2000(H3N2)) hemagglutinin (HA) gene, complete cds
EU516111.1	1701	EU516111.1 Influenza A virus (A/Texas/12/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU716486.1	1701	EU716486.1 Influenza A virus (A/New Jersey/07/2008(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
GQ369860.1	1701	GQ369860.1 Influenza A virus (A/Minnesota/36/2008(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
FJ532082.1	1701	FJ532082.1 Influenza A virus (A/Hawaii/18/2008(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU856907.1	1701	EU856907.1 Influenza A virus (A/Hong Kong/CUHK21226/2001(H3N2)) hemagglutinin (HA) gene, complete cds
EU716502.1	1701	EU716502.1 Influenza A virus (A/Wisconsin/02/2008(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
GQ385864.1	1701	GQ385864.1 Influenza A virus (A/Colorado/01/2009(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
GQ385876.1	1701	GQ385876.1 Influenza A virus (A/Washington/05/2009(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU567004.1	1701	EU567004.1 Influenza A virus (A/Arkansas/02/2008(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
GQ385872.1	1701	GQ385872.1 Influenza A virus (A/Montana/04/2009(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU716453.1	1701	EU716453.1 Influenza A virus (A/Wisconsin/08/2008(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU716476.1	1701	EU716476.1 Influenza A virus (A/Georgia/02/2008(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU857027.1	1701	EU857027.1 Influenza A virus (A/Hong Kong/CUHK50952/2003(H3N2)) hemagglutinin (HA) gene, complete cds
KT843699.1	1701	KT843699.1 Influenza A virus (A/Iowa/37/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KU289615.1	1701	KU289615.1 Influenza A virus (A/Corsica/3490-03/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT841797.1	1701	KT841797.1 Influenza A virus (A/California/04/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT842873.1	1701	KT842873.1 Influenza A virus (A/Maine/18/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT842575.1	1701	KT842575.1 Influenza A virus (A/California/16/2015(H3N2)) clone 3000097173_266807_v1_4 segment 4 hemagglutinin (HA) gene, complete cds
KT844296.1	1701	KT844296.1 Influenza A virus (A/Hawaii/36/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT843212.1	1701	KT843212.1 Influenza A virus (A/North Carolina/15/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT844415.1	1701	KT844415.1 Influenza A virus (A/Texas/116/2012(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT842475.1	1701	KT842475.1 Influenza A virus (A/New Jersey/04/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT842186.1	1701	KT842186.1 Influenza A virus (A/California/73/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT842223.1	1701	KT842223.1 Influenza A virus (A/Texas/11/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT843293.1	1701	KT843293.1 Influenza A virus (A/Oregon/05/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT842363.1	1701	KT842363.1 Influenza A virus (A/Iowa/09/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT843995.1	1701	KT843995.1 Influenza A virus (A/New Jersey/50/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT841880.1	1701	KT841880.1 Influenza A virus (A/Colorado/05/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT880082.1	1701	KT880082.1 Influenza A virus (A/Wisconsin/20/2015(H3N2)) clone 3000383562_272845_v1_4 segment 4 hemagglutinin (HA) gene, complete cds
KU289614.1	1701	KU289614.1 Influenza A virus (A/Corsica/3490-2/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT842065.1	1701	KT842065.1 Influenza A virus (A/Maine/10/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT843865.1	1701	KT843865.1 Influenza A virus (A/Florida/61/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT841644.1	1701	KT841644.1 Influenza A virus (A/Nevada/04/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
KT843597.1	1701	KT843597.1 Influenza A virus (A/Ohio/20/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MH637724.1	1751	MH637724.1 Influenza A virus (A/Baltimore/R0225/2017(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK268471.1	1737	MK268471.1 Influenza A virus (A/Missouri/50/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MH637598.1	1751	MH637598.1 Influenza A virus (A/Baltimore/R0230/2017(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK241133.1	1737	MK241133.1 Influenza A virus (A/Vermont/15/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK265390.1	1737	MK265390.1 Influenza A virus (A/Texas/133/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK240848.1	1737	MK240848.1 Influenza A virus (A/Ohio/16/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK077480.1	1737	MK077480.1 Influenza A virus (A/Wisconsin/102/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK241196.1	1737	MK241196.1 Influenza A virus (A/West Virginia/21/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK271173.1	1701	MK271173.1 Influenza A virus (A/Japan/7503/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK241172.1	1737	MK241172.1 Influenza A virus (A/Florida/50/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK241237.1	1737	MK241237.1 Influenza A virus (A/Montana/26/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK268557.1	1737	MK268557.1 Influenza A virus (A/Alaska/08/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK077336.1	1737	MK077336.1 Influenza A virus (A/Connecticut/33/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK265435.1	1737	MK265435.1 Influenza A virus (A/Iowa/60/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK071082.1	1737	MK071082.1 Influenza A virus (A/New York City/PV01086/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK071251.1	1737	MK071251.1 Influenza A virus (A/New York City/PV63/2017(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK077432.1	1737	MK077432.1 Influenza A virus (A/New York/41/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MH637757.1	1751	MH637757.1 Influenza A virus (A/Baltimore/R0247/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK168466.1	1761	MK168466.1 Influenza A virus (A/USA/SC6094/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK159067.1	1701	MK159067.1 Influenza A virus (A/Jeonbuk/736/2017(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MK181875.1	1737	MK181875.1 Influenza A virus (A/Alaska/49/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MW840794.1	1751	MW840794.1 Influenza A virus (A/District of Columbia/T0244/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MW841293.1	1751	MW841293.1 Influenza A virus (A/Bethesda/T0166/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MW789478.1	1762	MW789478.1 Influenza A virus (A/Maryland/176_15/2013(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MW789854.1	1762	MW789854.1 Influenza A virus (A/Maryland/90_5/2013(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MW840692.1	1751	MW840692.1 Influenza A virus (A/Linkou/R0147/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MT803265.1	1701	MT803265.1 Influenza A virus (A/Thailand/CU-B35397/2019(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MT803240.1	1701	MT803240.1 Influenza A virus (A/Thailand/CU-B36023/2020(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MT803307.1	1701	MT803307.1 Influenza A virus (A/Thailand/CU-B31119/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MW841077.1	1751	MW841077.1 Influenza A virus (A/Bethesda/T0196/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MT803242.1	1701	MT803242.1 Influenza A virus (A/Thailand/CU-B35602/2019(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MW790192.1	1762	MW790192.1 Influenza A virus (A/Maryland/27_5/2012(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MT659346.1	1737	MT659346.1 Influenza A virus (A/Wisconsin/49/2020(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MT659314.1	1737	MT659314.1 Influenza A virus (A/South Dakota/12/2020(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MZ819907.1	1737	MZ819907.1 Influenza A virus (A/Pakistan/654143.4/2017(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MW841046.1	1751	MW841046.1 Influenza A virus (A/District of Columbia/T0242/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MW600331.1	1733	MW600331.1 Influenza A virus (A/Thailand/CU-B36461/2020(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MW790122.1	1762	MW790122.1 Influenza A virus (A/Maryland/32_2/2012(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MW789800.1	1762	MW789800.1 Influenza A virus (A/Maryland/124_12/2013(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MW840696.1	1751	MW840696.1 Influenza A virus (A/Linkou/R0148/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MZ819789.1	1737	MZ819789.1 Influenza A virus (A/Pakistan/654054.4/2017(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MW841098.1	1751	MW841098.1 Influenza A virus (A/Linkou/R0073/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
MT803302.1	1701	MT803302.1 Influenza A virus (A/Thailand/CU-B25502/2017(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR672810.1	1701	OR672810.1 Influenza A virus (A/Turkey/161_H3/2019(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OQ068193.1	1762	OQ068193.1 Influenza A virus (A/Human/New York City/PV63318/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR974224.1	1737	OR974224.1 Influenza A virus (A/SD/SD-INBRE-02841_4/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR699558.1	1701	OR699558.1 Influenza A virus (A/Michigan/UOM10050377567/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR768746.1	1701	OR768746.1 Influenza A virus (A/Michigan/UOM10049399925/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OQ059085.1	1762	OQ059085.1 Influenza A virus (A/Human/New York City/PV63337/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR699612.1	1701	OR699612.1 Influenza A virus (A/Michigan/UOM10049872741/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR768930.1	1701	OR768930.1 Influenza A virus (A/Michigan/UOM10049500496/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR975096.1	1737	OR975096.1 Influenza A virus (A/SD/SD-INBRE-02876_4/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR974010.1	1737	OR974010.1 Influenza A virus (A/SD/SD-INBRE-02814_4/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR975112.1	1737	OR975112.1 Influenza A virus (A/SD/SD-INBRE-02878_4/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR974082.1	1737	OR974082.1 Influenza A virus (A/SD/SD-INBRE-02823_4/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR628169.1	1737	OR628169.1 Influenza A virus (A/Tennessee/04/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR750259.1	1737	OR750259.1 Influenza A virus (A/Georgia/44/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR768549.1	1701	OR768549.1 Influenza A virus (A/Michigan/UOM10049656316/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR974018.1	1737	OR974018.1 Influenza A virus (A/SD/SD-INBRE-02815_4/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR628161.1	1737	OR628161.1 Influenza A virus (A/Pennsylvania/43/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR699914.1	1701	OR699914.1 Influenza A virus (A/Michigan/UOM10050880942/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR866456.1	1701	OR866456.1 Influenza A virus (A/Michigan/MIS-L369631814/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OR699939.1	1701	OR699939.1 Influenza A virus (A/Michigan/UOM10050832819/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OQ059069.1	1762	OQ059069.1 Influenza A virus (A/Human/New York City/PV63373/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
OQ067957.1	1762	OQ067957.1 Influenza A virus (A/Human/New York City/PV63267/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ584022.1	1701	PZ584022.1 Influenza A virus (A/Veneto/USAFSAM-18030/2026(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ601481.1	1701	PZ601481.1 Influenza A virus (A/Texas/USAFSAM-18056/2026(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ477206.1	1762	PZ477206.1 Influenza A virus (A/Ningbo/2025_2924/2025(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ477270.1	1762	PZ477270.1 Influenza A virus (A/Ningbo/2025_3003/2025(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ601505.1	1701	PZ601505.1 Influenza A virus (A/Texas/USAFSAM-18080/2026(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ461651.1	1701	PZ461651.1 Influenza A virus (A/Texas/USAFSAM-17680/2025(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ601495.1	1701	PZ601495.1 Influenza A virus (A/Texas/USAFSAM-18070/2026(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ465114.1	1732	PZ465114.1 Influenza A virus (A/Washington/WA-UW-40084/2025(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ464910.1	1733	PZ464910.1 Influenza A virus (A/Washington/WA-UW-42850/2025(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ489365.1	1701	PZ489365.1 Influenza A virus (A/San Mateo County/CA-SMCPHL-26A0166/2026(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ465236.1	1733	PZ465236.1 Influenza A virus (A/Washington/WA-UW-64174/2026(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ489488.1	1701	PZ489488.1 Influenza A virus (A/San Mateo County/CA-SMCPHL-26A0249/2026(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ489502.1	1701	PZ489502.1 Influenza A virus (A/San Mateo County/CA-SMCPHL-26A0254/2026(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ477374.1	1762	PZ477374.1 Influenza A virus (A/Ningbo/FHS03/2025(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ477126.1	1762	PZ477126.1 Influenza A virus (A/Ningbo/2025_2603/2025(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ578796.1	1701	PZ578796.1 Influenza A virus (A/Bayern/USAFSAM-17713/2025(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PZ476482.1	1701	PZ476482.1 Influenza A virus (A/California/LACPHL-INF02775/2026(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
PV821347.1	1701	PV821347.1 Influenza A virus (A/Malaysia/2405230/2024(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
