accession	length_nt	description
KU954803.1	933	KU954803.1 Human respiratory syncytial virus B strain 4053A/2014 attachment glycoprotein (G) gene, complete cds
MF445680.1	933	MF445680.1 Human respiratory syncytial virus B strain FJ141209-23 attachment glycoprotein (G) gene, complete cds
KU954884.1	900	KU954884.1 Human respiratory syncytial virus B strain 1897A/2010 attachment glycoprotein (G) gene, complete cds
MF445703.1	948	MF445703.1 Human respiratory syncytial virus B strain FJ101218-21 attachment glycoprotein (G) gene, complete cds
KU954795.1	933	KU954795.1 Human respiratory syncytial virus B strain 12944/2012 attachment glycoprotein (G) gene, complete cds
KU954927.1	933	KU954927.1 Human respiratory syncytial virus B strain 1420A/2009 attachment glycoprotein (G) gene, complete cds
KU954892.1	933	KU954892.1 Human respiratory syncytial virus B strain 1853A/2010 attachment glycoprotein (G) gene, complete cds
KU954782.1	933	KU954782.1 Human respiratory syncytial virus B strain 9514/2010 attachment glycoprotein (G) gene, complete cds
KU954979.1	933	KU954979.1 Human respiratory syncytial virus B strain 1096A/2008 attachment glycoprotein (G) gene, complete cds
MF445708.1	948	MF445708.1 Human respiratory syncytial virus B strain FJ120121-26 attachment glycoprotein (G) gene, complete cds
MF445720.1	948	MF445720.1 Human respiratory syncytial virus B strain FJ110126-13 attachment glycoprotein (G) gene, complete cds
KU954961.1	948	KU954961.1 Human respiratory syncytial virus B strain 1169A/2008 attachment glycoprotein (G) gene, complete cds
KU954929.1	933	KU954929.1 Human respiratory syncytial virus B strain 1411A/2009 attachment glycoprotein (G) gene, complete cds
KU954958.1	948	KU954958.1 Human respiratory syncytial virus B strain 1176A/2008 attachment glycoprotein (G) gene, complete cds
MF445692.1	888	MF445692.1 Human respiratory syncytial virus B strain FJ091113-21B attachment glycoprotein (G) gene, complete cds
KU954883.1	933	KU954883.1 Human respiratory syncytial virus B strain 1898A/2010 attachment glycoprotein (G) gene, complete cds
KU954935.1	933	KU954935.1 Human respiratory syncytial virus B strain 1359A/2009 attachment glycoprotein (G) gene, complete cds
KU954845.1	933	KU954845.1 Human respiratory syncytial virus B strain 3496A/2013 attachment glycoprotein (G) gene, complete cds
KU954891.1	933	KU954891.1 Human respiratory syncytial virus B strain 1854A/2010 attachment glycoprotein (G) gene, complete cds
KU954994.1	933	KU954994.1 Human respiratory syncytial virus B strain 1028A/2008 attachment glycoprotein (G) gene, complete cds
KU954888.1	933	KU954888.1 Human respiratory syncytial virus B strain 1893A/2010 attachment glycoprotein (G) gene, complete cds
KU954896.1	954	KU954896.1 Human respiratory syncytial virus B strain 1824A/2010 attachment glycoprotein (G) gene, complete cds
KU954970.1	933	KU954970.1 Human respiratory syncytial virus B strain 1131A/2008 attachment glycoprotein (G) gene, complete cds
KU954941.1	933	KU954941.1 Human respiratory syncytial virus B strain 1336A/2009 attachment glycoprotein (G) gene, complete cds
MF445707.1	948	MF445707.1 Human respiratory syncytial virus B strain FJ111207-15 attachment glycoprotein (G) gene, complete cds
KU954990.1	933	KU954990.1 Human respiratory syncytial virus B strain 1042A/2008 attachment glycoprotein (G) gene, complete cds
KU954804.1	933	KU954804.1 Human respiratory syncytial virus B strain 4038A/2014 attachment glycoprotein (G) gene, complete cds
KU954952.1	933	KU954952.1 Human respiratory syncytial virus B strain 1215A/2008 attachment glycoprotein (G) gene, complete cds
KU954841.1	933	KU954841.1 Human respiratory syncytial virus B strain 3508A/2013 attachment glycoprotein (G) gene, complete cds
KU954939.1	933	KU954939.1 Human respiratory syncytial virus B strain 1346A/2009 attachment glycoprotein (G) gene, complete cds
KU954792.1	933	KU954792.1 Human respiratory syncytial virus B strain 13844/2014 attachment glycoprotein (G) gene, complete cds
KU954965.1	933	KU954965.1 Human respiratory syncytial virus B strain 1162A/2008 attachment glycoprotein (G) gene, complete cds
OP928061.1	933	OP928061.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2021/7 attachment glycoprotein gene, complete cds
OP928130.1	933	OP928130.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2019/13 attachment glycoprotein gene, complete cds
OP928086.1	933	OP928086.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2021/32 attachment glycoprotein gene, complete cds
OP928136.1	933	OP928136.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2020/4 attachment glycoprotein gene, complete cds
OP928064.1	933	OP928064.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2021/10 attachment glycoprotein gene, complete cds
OP928042.1	933	OP928042.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2021/89 attachment glycoprotein gene, complete cds
OP928076.1	933	OP928076.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2021/22 attachment glycoprotein gene, complete cds
OP928128.1	933	OP928128.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2019/11 attachment glycoprotein gene, complete cds
OP928043.1	942	OP928043.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2021/90 attachment glycoprotein gene, complete cds
OP928027.1	933	OP928027.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2021/73 attachment glycoprotein gene, complete cds
OP928108.1	954	OP928108.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2018/7 attachment glycoprotein gene, complete cds
OP928077.1	933	OP928077.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2021/23 attachment glycoprotein gene, complete cds
OP928109.1	933	OP928109.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2018/8 attachment glycoprotein gene, complete cds
OP928001.1	933	OP928001.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2021/46 attachment glycoprotein gene, complete cds
OP928035.1	933	OP928035.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2021/82 attachment glycoprotein gene, complete cds
OK357498.1	1038	OK357498.1 Human respiratory syncytial virus B strain GER/1876/18-19 attachment glycoprotein (G) gene, complete cds
OP928052.1	933	OP928052.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2020/14 attachment glycoprotein gene, complete cds
OP928088.1	933	OP928088.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2021/97 attachment glycoprotein gene, complete cds
OP928018.1	933	OP928018.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2021/63 attachment glycoprotein gene, complete cds
OP928121.1	933	OP928121.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2019/4 attachment glycoprotein gene, complete cds
OP928116.1	933	OP928116.1 Human respiratory syncytial virus B isolate RSVB/Leipzig/2018/15 attachment glycoprotein gene, complete cds
PQ822441.1	954	PQ822441.1 Human respiratory syncytial virus B isolate 240201VS01 attachment glycoprotein (G) gene, complete cds
PQ822438.1	954	PQ822438.1 Human respiratory syncytial virus B isolate 240130VS21 attachment glycoprotein (G) gene, complete cds
PZ111218.1	933	PZ111218.1 Human respiratory syncytial virus B isolate NCR100 attachment glycoprotein (G) gene, complete cds
PQ822391.1	954	PQ822391.1 Human respiratory syncytial virus B isolate 231229XP11 attachment glycoprotein (G) gene, complete cds
PZ111245.1	954	PZ111245.1 Human respiratory syncytial virus B isolate NCR87 attachment glycoprotein (G) gene, complete cds
PQ822461.1	954	PQ822461.1 Human respiratory syncytial virus B isolate 240208VS44 attachment glycoprotein (G) gene, complete cds
PQ822383.1	954	PQ822383.1 Human respiratory syncytial virus B isolate 231206VS39 attachment glycoprotein (G) gene, complete cds
PQ822345.1	1005	PQ822345.1 Human respiratory syncytial virus B isolate 201118VS12 attachment glycoprotein (G) gene, complete cds
PQ822462.1	954	PQ822462.1 Human respiratory syncytial virus B isolate 240208XP02 attachment glycoprotein (G) gene, complete cds
PQ822369.1	954	PQ822369.1 Human respiratory syncytial virus B isolate 220218VS16 attachment glycoprotein (G) gene, complete cds
PQ822439.1	954	PQ822439.1 Human respiratory syncytial virus B isolate 240130VS22 attachment glycoprotein (G) gene, complete cds
PZ111249.1	933	PZ111249.1 Human respiratory syncytial virus B isolate NCR95 attachment glycoprotein (G) gene, complete cds
PQ822385.1	954	PQ822385.1 Human respiratory syncytial virus B isolate 231207VS63 attachment glycoprotein (G) gene, complete cds
PQ822428.1	954	PQ822428.1 Human respiratory syncytial virus B isolate 240123XP06 attachment glycoprotein (G) gene, complete cds
PQ822367.1	954	PQ822367.1 Human respiratory syncytial virus B isolate 220126VS32 attachment glycoprotein (G) gene, complete cds
PQ822437.1	954	PQ822437.1 Human respiratory syncytial virus B isolate 240129XP19 attachment glycoprotein (G) gene, complete cds
PZ111250.1	933	PZ111250.1 Human respiratory syncytial virus B isolate NCR99 attachment glycoprotein (G) gene, complete cds
PQ822354.1	954	PQ822354.1 Human respiratory syncytial virus B isolate 210705VS12 attachment glycoprotein (G) gene, complete cds
PZ111241.1	933	PZ111241.1 Human respiratory syncytial virus B isolate NCR66 attachment glycoprotein (G) gene, complete cds
